,logFC,AveExpr,t,P.Value,adj.P.Val,B
L3MBTL4,1.47200572,3.81725122,9.856362375,1.53E-18,4.42E-16,31.55054655
TRIM3,-1.102220927,4.453150817,-9.849104055,1.60E-18,4.56E-16,31.50485631
GPR160,-2.268252151,8.337738041,-9.843377966,1.66E-18,4.67E-16,31.46881794
REEP6,-2.38639418,6.264830194,-9.833473027,1.77E-18,4.91E-16,31.40649298
SOX8,3.45262996,3.347300826,9.816092975,1.98E-18,5.42E-16,31.29717508
SERHL2,-3.020417001,5.985599444,-9.770829471,2.65E-18,7.15E-16,31.01273291
CADPS2,-1.591535165,NA,-9.754847539,2.93E-18,7.82E-16,30.91239038
STOX2,1.385917653,4.414260237,9.738370454,3.26E-18,8.58E-16,30.80898883
FOXP1,-0.966904278,6.765691481,-9.729776475,3.44E-18,8.95E-16,30.75507769
XBP1,-1.005313735,7.790971228,-9.706803729,3.99E-18,1.02E-15,30.611035
ALCAM,-2.070438461,7.721289029,-9.703798131,4.06E-18,1.03E-15,30.59219681
PM20D2,1.25009165,5.792573869,9.670088936,5.04E-18,1.26E-15,30.38103586
CYP4Z1,-4.37038403,5.745974729,-9.603307971,7.72E-18,1.91E-15,29.96335585
EPB41L4A,-1.259664164,4.088072667,-9.574765501,9.26E-18,2.24E-15,29.78510521
GPCPD1,-1.382536671,6.734707415,-9.574721593,9.27E-18,2.24E-15,29.78483114
ICA1,-0.925215576,5.22541442,-9.543797029,1.13E-17,2.70E-15,29.59188819
CAPN8,-2.612204461,5.837130045,-9.522572884,1.29E-17,3.05E-15,29.45957938
ITGB8,1.513744245,4.766565926,9.475276541,1.74E-17,4.08E-15,29.16507112
SLC25A27,1.062875911,NA,9.455210934,1.98E-17,4.58E-15,29.04026498
GALNT6,-2.290368196,7.124518476,-9.436307013,2.23E-17,5.10E-15,NA
TMEM135,-0.803819742,5.739913484,-9.434885739,2.25E-17,5.10E-15,28.9139301
TAF4B,1.149498227,5.694942558,9.387968674,3.04E-17,6.73E-15,28.62264228
ART3,2.742399073,4.009159981,9.387700277,3.04E-17,NA,28.62097727
FAM110C,-2.482236174,6.524772648,-9.376882945,3.26E-17,7.13E-15,28.55388442
CNTNAP2,NA,4.418066655,-9.369595135,3.41E-17,7.39E-15,28.5086971
SPRED2,-0.983409581,4.485945021,-9.325820774,4.50E-17,9.65E-15,28.23752107
TFAP2B,-3.902356542,5.535594966,-9.310260721,4.96E-17,1.05E-14,28.14122967
NR2F1,-1.977656993,5.72648943,-9.244968728,7.49E-17,1.57E-14,27.73776459
IYD,-2.06709269,2.681672116,-9.243880298,7.55E-17,1.57E-14,27.73104685
TP53INP2,-1.57695069,7.22341977,-9.23715195,7.87E-17,1.62E-14,27.68952574
DGKD,-1.129956737,7.183657844,-9.227796337,8.35E-17,1.70E-14,27.63180866
UBR1,-0.879098749,6.496445026,-9.225104077,8.49E-17,1.72E-14,27.61520312
CDCA7,1.439416018,6.181246503,9.223442465,8.58E-17,1.72E-14,27.60495532
ABCC3,-1.713446047,5.141960672,-9.202813098,9.77E-17,1.94E-14,27.47777859
SERF2,-0.681676592,9.599952011,-9.194040647,1.03E-16,2.02E-14,27.42372737
