"gene_name","logFC","AveExpr","t","P.Value","adj.P.Val","B","regulation"
"THBS2",5.39892860579234,9.39797336343417,16.3188471236337,4.03172110145045e-37,2.70710563634487e-34,73.7577961802479,"Upregulated"
"IGLV2-14",5.31897129664584,8.53793562857847,8.35043534884381,1.90926315878365e-14,8.87082871653608e-13,22.1802789581035,"Upregulated"
"CXCL9",5.19269373427875,8.0608723702519,9.15307748205241,1.336169170472e-16,8.63737928055116e-15,27.06803642076,"Upregulated"
"SFRP2",5.1028224780656,9.42548288505073,12.3276185950814,1.32692919491488e-25,2.68155642642264e-23,47.543138592124,"Upregulated"
"SERPINF1",5.10176705283738,9.40585365128625,19.7665342808879,1.18125141845094e-46,2.45877482750562e-43,95.4125859481022,"Upregulated"
"COL6A3",5.07609292346996,10.645437118529,14.9547336410052,3.22797609569247e-33,1.49311827626308e-30,64.8765527663621,"Upregulated"
"C1QB",5.0492766603303,8.20573471655823,17.1121186043559,2.31857428477879e-39,2.29814874941288e-36,78.8518214685988,"Upregulated"
"AEBP1",5.0237423674001,9.0455514149674,15.0986660399242,1.24311912608025e-33,5.88080104758192e-31,65.8197156903076,"Upregulated"
"LTF",5.00800127534263,8.15469376099384,5.95765400941461,1.35032429648642e-08,1.70345455947666e-07,8.98489146065686,"Upregulated"
"CXCL13",4.91283063901645,6.44536948082293,7.30907442170497,8.91035451470388e-12,2.40868869121508e-10,16.1420542791185,"Upregulated"
"COL11A1",4.89659120964397,7.18309043707499,11.3565212857641,8.45850345792683e-23,1.1816359025285e-20,41.1597440602651,"Upregulated"
"LAPTM5",4.84207985933973,9.03959954823945,21.1062555338223,3.35888290354526e-50,1.74787869093236e-46,103.449789866443,"Upregulated"
"SPARC",4.83318377778404,10.5175185113836,14.0271050456184,1.55001059710668e-30,5.37724509646259e-28,58.7729292966526,"Upregulated"
"TNFSF13B",4.81807443519903,7.66054853764256,16.4957939394691,1.26961284964211e-37,9.1127556776898e-35,74.89908020838,"Upregulated"
"LUM",4.74732566043455,8.72940737772647,14.5517349516556,4.69700798984658e-32,1.99526982262564e-29,62.229694582975,"Upregulated"
"GABRP",4.74056674734304,6.94946144502812,6.51065197751106,7.47093814043557e-10,1.2715255714895e-08,11.8068693703937,"Upregulated"
"RNASE6",4.71428908413038,6.47162255130698,19.7443272581825,1.35493508797278e-46,2.56390671419577e-43,95.2774629569072,"Upregulated"
"SPP1",4.68632173153826,6.76826533532676,13.5516360208462,3.71264350705379e-29,1.07331492499062e-26,55.6326438569808,"Upregulated"
"FCER1G",4.63977493488584,7.49113223746702,19.6185958412729,2.9492146975056e-46,5.11565866071492e-43,94.5112789871726,"Upregulated"
"CCL8",4.61121641623729,7.2621570235926,12.938555879552,2.23909446773617e-27,5.35709785585385e-25,51.5791503170577,"Upregulated"
"FDCSP",4.5949384165056,5.34179611309677,5.98061331887523,1.20112711636071e-08,1.53195226268678e-07,9.09882308002472,"Upregulated"
